# Fix print output for fix posit_out
0 0 41.6927932058259 1.02927156183297e-06 21.9630547270177 5.38882586869532e-07
1000 50000 41.7630302194248 1.33696104841354e-06 21.9919940232346 6.18242725159366e-07
2000 100000 41.8285904622161 1.30473088756588e-06 22.0237333867946 6.49067899676312e-07
3000 150000 41.8938414523602 1.30815863649048e-06 22.0563469317803 6.48956780295292e-07
4000 200000 41.95923565161 1.29752377134589e-06 22.0886101096005 6.46369931184427e-07
5000 250000 42.0239272652005 1.29460172725445e-06 22.1212750902694 6.6351326225338e-07
6000 300000 42.0888009853235 1.304983373119e-06 22.1546502488784 6.6703248462648e-07
7000 350000 42.1547753659545 1.33291169896895e-06 22.1880096883141 6.67337903361013e-07
8000 400000 42.2209533639484 1.30558908595063e-06 22.2212637792158 6.60711849790963e-07
9000 450000 42.285867307885 1.29267960291096e-06 22.2543465577716 6.61222806679418e-07
10000 500000 42.3499990278174 1.27798751440399e-06 22.287316601029 6.62113198535636e-07
11000 550000 42.4140588211887 1.28180131427214e-06 22.3207427608006 6.7206775006633e-07
12000 600000 42.4779862418064 1.26586703870007e-06 22.3544089098883 6.69770466448989e-07
13000 650000 42.5404917204602 1.24030114212971e-06 22.3875788608723 6.60243200059272e-07
14000 700000 42.6022743743978 1.23438553669358e-06 22.420537596919 6.55399311091036e-07
15000 750000 42.6639034446448 1.2321865594719e-06 22.4526734727292 6.32689053270332e-07
16000 800000 42.7258796054806 1.2453020733443e-06 22.484187131586 6.31499424407018e-07
17000 850000 42.7880798626175 1.24031792984721e-06 22.5159085757522 6.33718468253869e-07
18000 900000 42.850452719451 1.2589432931213e-06 22.5476801022616 6.42957905057378e-07
19000 950000 42.9134111310188 1.25428021926502e-06 22.5802572287516 6.53464554753997e-07
20000 1000000 42.9761308880844 1.25458799676976e-06 22.6127678547336 6.46600949944112e-07
21000 1050000 43.0389165915963 1.2609755887825e-06 22.6449253286717 6.4126221531424e-07
22000 1100000 43.1025845632038 1.28470261246765e-06 22.6773573969848 6.53707354696552e-07
23000 1150000 43.1668527214308 1.28350016634831e-06 22.7096319085524 6.32790602726972e-07
24000 1200000 43.2311385581092 1.29598725795223e-06 22.7410820873394 6.3441836325864e-07
25000 1250000 43.296538070434 1.31211739787265e-06 22.7734608565801 6.57604888487108e-07
