# Fix print output for fix posit_out
0 0 24.1986416983764 6.86513727547714e-07 12.8792763477048 3.67179731574644e-07
1000 50000 24.2523766074657 1.02195372934362e-06 12.8999878644178 4.64429202358612e-07
2000 100000 24.3017567863051 9.62147883223732e-07 12.9244758442932 5.09491481239551e-07
3000 150000 24.3497140562072 9.615903625204e-07 12.9505316910417 5.27081774848632e-07
4000 200000 24.3980962734094 9.74135153360443e-07 12.97683826155 5.25140684810299e-07
5000 250000 24.4475442987157 1.01468697230934e-06 13.0035813545153 5.48872559179612e-07
6000 300000 24.4994801171965 1.04555415899723e-06 13.0313271643273 5.54192421205389e-07
7000 350000 24.550686764447 1.00967116421446e-06 13.058632451225 5.4032663892193e-07
8000 400000 24.6013071531485 1.01683849863509e-06 13.0856398738404 5.41333100882204e-07
9000 450000 24.6522476248297 1.01880998122607e-06 13.1126877769525 5.39124125372802e-07
10000 500000 24.702823335758 1.00564928881047e-06 13.1393808096412 5.30084505008806e-07
11000 550000 24.7531551994304 1.00649650414327e-06 13.1660724749434 5.37438228516663e-07
12000 600000 24.8036261507658 1.01722973890338e-06 13.1931583078205 5.48860874978418e-07
13000 650000 24.8543099073702 9.99942435683167e-07 13.2205973618786 5.43138250770833e-07
14000 700000 24.9034889952905 9.73180844929101e-07 13.2474907200218 5.3547216568839e-07
15000 750000 24.9517761767062 9.57343731026869e-07 13.2740090596189 5.23386969357311e-07
16000 800000 24.9994300299777 9.51652652400782e-07 13.2999307405738 5.15197092317514e-07
17000 850000 25.0474281491388 9.73873905748023e-07 13.32573615228 5.20068205054484e-07
18000 900000 25.0971461067073 1.01545733372024e-06 13.3521684684875 5.37378564654112e-07
19000 950000 25.1481293304672 1.01290539052117e-06 13.3790882680634 5.34655261017026e-07
20000 1000000 25.1985079586837 1.00391060741167e-06 13.405700824284 5.30976555395242e-07
21000 1050000 25.2485471723675 9.98463686951182e-07 13.432061762662 5.25366969546932e-07
22000 1100000 25.2982851742232 9.95669971241247e-07 13.4584675638094 5.31468892348092e-07
23000 1150000 25.3479347397122 9.81955739971117e-07 13.4850253514359 5.29169843717094e-07
